Questions,Answers
Hi,Hello! How can I assist you today
Hello,Hello! How can I assist you today
Good morning/good afternoon/good evening,Good morning/good afternoon/good evening! How can I assist you today?
What are you doing?,"I am programmed to respond to your queries and provide helpful information about college. Right now, I am waiting for your next question or request."
Nice to see you!,It's nice to see you too! How can I assist you today?
Are you a human or a chatbot?,"I am a chatbot, programmed to simulate conversation with human users."
What kind of information do you have available?,I have a wide range of information about college and can provide you with accurate and helpful answers to your questions.
Which college information are you providing?,I’m providing the information of KSRM college. Ask anything about KSRM
Tell me the fullform of KSRMCE,Kandula Srinivasa Reddy Memorial College of Engineering
College Address,"Yerramasupalli, C.K Dinne, Kadapa, Andhra Pradesh 516003"
Thank you,"You're welcome! If you have any other questions or requests, feel free to ask me."
Bye,Goodbye! Don't hesitate to come back if you need further assistance.
What is the history of the college?,"The college owes its existence to the keen interest of Late Kandula Obul Reddy to develop technical education in Rayalaseema region of Andhra Pradesh. With a view to translating his noble ideal of imparting technical education into reality, a Technical Training Institute at Vempalli, Kadapa District was started in 1979 under the aegis of Sri Kandula Obul Reddy charities. It is in the year 1980 that K.S.R.M. College of Engineering was established to perpetuate the memory of Late Sri. Srinivasa Reddy, youngest son of Late Sri Obul Reddy. Sri Srinivasa Reddy, a brilliant student of III year Mechanical Engineering at Delhi College of Engineering, New Delhi, met with his untimely death in a scooter accident on 18th Oct, 1979.The college was formally inaugurated on 14 November 1980 by Sri T. Anjaiah, the Chief Minister of Andhra Pradesh "
How many students attend the college?,approximately 5000
What is the student-to-faculty ratio?,Nearly 1:15
How many academic departments does the college have?,7 Departments
What are the graduate programs offered by the college?,Graduate degree programs offer advanced training (beyond a bachelor’s degree) in a specific academic discipline. 
What is the college's admission process?,"The admission requirements for a B.Tech program typically include completion of 10+2 with Physics, Chemistry, and Mathematics, a minimum percentage of marks, and clearance of an entrance exam."
What are the admission requirements?,The deadline of admission is 15-07-2023
What is the deadline to apply for admission?,The acceptance rate is 3.8/5
What is the average GPA of admitted students?,The average GPA of admitted students is 40-60%
What is the cost of attendance?,The cost of attendence is 75%
What scholarships are available?,"Scholarships are Jagan anna Vidhya deevena,Jagan Anna vasathi deevena and others"
What is the college's grading system?, the KSRM grading system is CGPA 
